word,type,definition
expand,verb,"to become greater in size, number or importance; to make something greater in size, number or importance"
expansion,noun,"an act of increasing or making something increase in size, amount or importance"
expect,verb,to think or believe that something will happen or that somebody will do something
expectation,noun,a belief that something will happen because it is likely
expected,adjective,that you think will happen
expedition,noun,"an organized journey with a particular purpose, especially to find out about a place that is not well known"
expenditure,noun,the act of spending or using money; an amount of money spent
expense,noun,the money that you spend on something
expensive,adjective,costing a lot of money
experience,noun,the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this
experience,verb,to have a particular situation affect you or happen to you
experienced,adjective,having knowledge or skill in a particular job or activity
experiment,noun,a scientific test that is done in order to study what happens and to gain new knowledge
